;ID;position.x;position.y;position.z;total_volume;cell_type;cycle_model;current_phase;elapsed_time_in_phase;nuclear_volume;cytoplasmic_volume;fluid_fraction;calcified_fraction;orientation.x;orientation.y;orientation.z;polarity;migration_speed;motility_vector.x;motility_vector.y;motility_vector.z;migration_bias;motility_bias_direction.x;motility_bias_direction.y;motility_bias_direction.z;persistence_time;motility_reserved;Oxygen;HIF;LDH;PDK;PDH;Diff_coeff;distance;simulation_time
1;0;-158.452750276001;-24.0794024835422;40.7537236627806;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528153025951177;3.58281815581714;3.39126634174;6.23542837445031;0.142167657820996;64336.2950641127;165.372179299831;6
2;1;-159.898051006576;-15.2085797957605;27.3842900838598;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151129918427;3.58281934042498;3.3912664698983;6.2354287101871;0.14216765758781;58126.0251260428;162.93737127652;6
3;2;-166.57096837143;0.00170780016943166;-0.0123366877201753;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528155228061143;3.58281681984022;3.39126620975721;6.23542802874154;0.142167658051279;82303.9248559081;166.570968837029;6
4;3;-158.609745944904;5.01443280520403;13.322586886118;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150629888108;3.58281968462123;3.3912665103528;6.23542881617105;0.142167657513256;53986.2816321675;159.247252304092;6
5;4;-158.409873037392;4.9204507000532;40.9258456750402;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152741657669;3.58281834440191;3.39126636812359;6.23542844360095;0.142167657767622;61339.4424615915;163.68513541257;6
6;5;-158.529439180172;14.2682797870598;0.00645771126257997;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150629888108;3.58281974668312;3.3912665145849;6.23542882724356;0.142167657508779;53986.2816321675;159.170245135716;6
7;6;-158.583981522688;14.5771825470013;27.3830583260372;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151366854009;3.58281920368077;3.39126645867356;6.23542868079699;0.142167657605627;57489.6642914291;161.589620118014;6
8;7;-158.425134884322;24.1864213101645;-13.7174188593164;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151659593245;3.58281905799318;3.39126644896906;6.23542865539485;0.142167657619552;57695.2098201599;160.846740467659;6
9;8;-158.338023846359;33.8649726322765;13.4520690143735;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151715823837;3.58281901756484;3.39126644397363;6.23542864230605;0.142167657629057;57565.6743771048;162.476842435229;6
10;9;-158.680706282265;43.3937888380545;-27.3763731957816;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154038939946;3.58281757406655;3.39126629745909;6.23542825852596;0.142167657887899;65975.220439409;166.769461428989;6
11;10;-158.537147899288;43.1468219331338;0.345658583514139;2494;0;9999;4;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528153517879236;3.58281790155073;3.39126633151332;6.23542834773155;0.142167657826949;62674.5007114765;164.303971305707;6
12;11;-159.162948153549;41.6549129101657;27.2823189149498;2644.25559427761;0;9999;2;35.9666666666621;580.349468628469;2063.90612564914;0.726948369123781;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154185924499;3.58281747832386;3.39126628561199;6.23542822749005;0.142167657909749;66396.276880451;166.770203453314;6
13;12;-151.621265966259;-70.4428052683401;13.4037353301248;2494;0;9999;4;0;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154181842054;3.58281745635154;3.39126626058415;6.23542816180751;0.142167657974885;68764.7874237753;167.722560283595;6
14;13;-151.824002229803;-56.511855369485;-27.5087209655288;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152787060399;3.5828183230931;3.39126635448126;6.23542840779446;0.142167657803248;60363.9138505128;164.319345116563;6
15;14;-150.524066361003;-57.9397147032766;-0.0488930336647509;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152193976431;3.58281867656484;3.39126639182848;6.23542850563409;0.142167657735178;58321.0715532246;161.290134491473;6
